PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Christian Bethancourt,69,253,274,62,12,0,9,30,33,14,65,3,0.244,0.237,305.24,10028
Myles Straw,122,425,480,107,20,2,3,52,38,46,80,22,0.253,0.167,388.16,17620
Omar NarvÃ¡ez,77,264,299,63,11,1,6,32,30,28,61,1,0.239,0.204,426.09,13338
Mark Canha,126,450,529,109,21,1,14,61,55,55,107,5,0.242,0.203,348.99,11445
Jake McCarthy,133,518,576,132,26,6,13,66,65,44,127,29,0.256,0.22,109.95,21622
Manuel Margot,122,458,506,118,24,2,10,54,52,39,89,14,0.258,0.176,299.76,14712
Michael Conforto,128,473,549,118,25,1,17,65,67,61,120,3,0.249,0.218,238.24,16376
Salvador Perez,134,550,590,142,25,1,29,71,87,25,141,1,0.257,0.239,70.7,7304
Mitch Haniger,122,482,542,123,22,2,22,69,68,47,127,2,0.254,0.235,206.11,14274
Ryan Mountcastle,141,553,608,140,26,1,25,72,83,44,154,5,0.253,0.254,152.49,18373
Austin Hays,136,521,570,130,28,2,19,63,67,34,112,5,0.25,0.197,272.75,19363
Christian VÃ¡zquez,89,326,355,83,17,1,7,35,37,22,62,4,0.254,0.174,262.3,9774
Miguel Rojas,115,419,458,107,20,1,9,51,46,27,62,10,0.256,0.136,424.63,7802
Josh Rojas,117,439,501,109,26,2,9,57,49,53,107,17,0.249,0.214,214.3,19734
Mike Zunino,81,285,316,57,10,1,15,35,40,22,107,1,0.199,0.337,417.55,13265
Miguel Vargas,128,442,497,115,24,2,14,58,58,42,89,7,0.259,0.18,199,20178
Austin Meadows,123,473,533,119,24,4,19,62,67,49,102,4,0.252,0.192,274.26,15672
Kris Bryant,126,498,568,136,31,2,19,78,69,55,116,6,0.273,0.205,126.55,15429
David Villar,115,412,471,92,20,1,16,51,53,44,138,2,0.222,0.293,463.5,24782
Aledmys DÃ­az,115,462,506,115,25,1,15,56,54,31,86,3,0.249,0.169,423.18,15937
Jesse Winker,118,429,507,109,22,1,17,63,60,66,95,1,0.255,0.188,255.09,13590
Lane Thomas,130,516,581,122,27,2,19,71,58,52,139,12,0.236,0.239,286.68,16939
Nick Fortes,62,226,252,55,10,1,8,28,29,18,46,4,0.244,0.181,348.03,21538
Jeimer Candelario,133,498,558,121,28,2,16,60,63,48,127,1,0.244,0.228,406.61,13621
RamÃ³n UrÃ­as,97,355,396,87,18,1,11,42,44,31,92,2,0.245,0.232,411.54,18795
Joey Gallo,113,415,500,82,14,2,23,64,56,72,178,5,0.197,0.356,377.26,14128
Oscar Gonzalez,122,469,500,127,26,1,18,56,65,22,98,2,0.271,0.195,214.82,20970
MJ Melendez,130,504,582,119,25,3,22,76,66,67,132,5,0.237,0.227,106.05,22197
Adolis GarcÃ­a,150,599,648,139,28,3,26,74,86,37,187,21,0.233,0.289,60.16,19287
Travis d'Arnaud,100,380,416,95,19,1,14,48,52,26,92,1,0.25,0.221,223.76,7739
Reese McGuire,75,267,292,65,15,1,5,29,29,17,60,1,0.243,0.205,490.25,15674
