PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Riley Adams,56,177,200,37,8,1,5,20,20,17,65,0,0.207,0.326,747.41,19864
Austin Hedges,84,271,303,51,9,0,7,26,27,21,76,2,0.189,0.251,719.09,12976
Cooper Hummel,34,108,124,23,5,0,3,14,11,13,37,2,0.21,0.301,718.71,19458
Brendan Rodgers,9,32,35,9,2,0,1,4,4,2,6,0,0.286,0.187,560.74,17907
Josh Lowe,77,273,305,61,15,2,7,34,32,27,100,9,0.225,0.327,396.53,19953
Matt Mervis,66,249,274,60,13,1,10,30,35,19,61,1,0.243,0.222,999,sa3015051
Alan Trejo,63,217,231,54,12,1,7,26,28,10,55,2,0.248,0.24,646.99,20056
Dominic Smith,115,398,441,99,24,1,11,46,51,31,96,2,0.248,0.218,471.37,15653
Garrett Stubbs,32,93,107,20,4,0,2,12,9,10,25,2,0.219,0.23,743.34,18067
Austin Wynns,24,64,71,15,2,0,1,7,7,5,15,0,0.235,0.213,750.98,15271
Tyler Freeman,30,103,113,28,5,0,1,13,11,6,14,2,0.273,0.122,747.34,22532
Sam Hilliard,37,118,131,25,5,1,5,16,14,12,43,3,0.21,0.328,702.13,17954
Matt Duffy,40,136,150,36,6,0,2,14,13,10,28,1,0.264,0.188,747.11,13836
Curtis Mead,17,63,70,16,4,0,2,7,8,5,15,1,0.247,0.212,999,sa3008392
Jake Alu,41,148,161,37,9,1,4,17,17,10,34,3,0.249,0.213,999,sa3010009
David Hensley,70,229,257,55,12,1,4,29,23,25,65,4,0.239,0.253,605.75,25111
Juan Yepez,73,265,291,66,14,0,13,35,39,20,65,1,0.248,0.224,340.09,18400
Keston Hiura,67,231,261,50,10,1,11,31,32,22,97,4,0.218,0.371,542.62,20003
Kyle Stowers,97,327,363,76,16,1,13,38,43,30,111,2,0.231,0.305,463.13,26151
Jake Burger,54,194,212,47,9,1,9,23,27,13,60,0,0.241,0.283,591.43,22275
Corey Dickerson,94,340,365,89,19,2,8,39,38,20,65,2,0.261,0.177,582.53,10762
Ben Gamel,34,119,136,29,7,1,2,15,12,16,35,1,0.242,0.255,748.99,12160
Yuli Gurriel,72,266,290,69,15,0,5,30,31,18,36,3,0.26,0.124,592.34,19198
Cal Mitchell,52,186,202,48,10,1,5,20,23,12,40,3,0.259,0.198,701.54,22169
Nelson Cruz,91,336,377,82,14,0,13,42,48,33,90,2,0.245,0.238,510.09,2434
Tyler Heineman,23,71,79,17,3,0,1,7,6,5,12,1,0.234,0.146,999,13897
TomÃ¡s Nido,65,214,232,49,9,0,4,21,21,11,57,0,0.227,0.248,735.55,13755
Tyler Naquin,40,138,149,33,7,1,6,18,19,9,38,1,0.238,0.258,716.78,13359
Richie Palacios,19,59,66,14,4,0,1,8,6,6,13,2,0.243,0.199,750.91,24589
Carter Kieboom,49,170,195,39,8,0,4,21,19,20,46,1,0.228,0.234,740.13,19958
OdÃºbel Herrera,36,125,136,31,7,1,3,16,14,8,25,3,0.252,0.184,999,11476
Jackie Bradley Jr.,38,125,137,27,6,1,2,13,13,9,32,2,0.219,0.236,750.05,12984
Nate Eaton,74,250,277,59,12,2,4,29,25,19,66,14,0.236,0.24,536.03,25055
Brett Phillips,37,113,130,21,4,1,5,17,14,14,50,4,0.188,0.382,750,14735
Ildemaro Vargas,58,198,212,47,10,1,3,19,19,10,29,2,0.239,0.136,749.03,13324
Romy Gonzalez,40,140,153,31,6,0,5,16,15,10,51,3,0.22,0.335,742.49,21562
Rob Refsnyder,43,138,157,35,7,0,4,19,17,14,42,1,0.256,0.267,742.97,13770
Jose Herrera,24,75,84,17,3,0,1,8,7,7,17,0,0.224,0.207,999,17040
Willi Castro,19,66,71,16,3,0,1,8,7,3,16,2,0.244,0.222,747.17,17338
Taylor Trammell,31,98,111,21,4,0,4,13,11,10,32,2,0.215,0.29,749.46,19960
Vidal BrujÃ¡n,28,96,106,22,5,0,2,12,10,8,21,6,0.233,0.198,592.72,20536
Carlos PÃ©rez,23,72,77,17,3,0,2,7,8,4,9,0,0.234,0.114,750.84,20805
Jordan Groshans,27,96,106,25,4,0,2,11,10,9,21,0,0.255,0.198,733.68,23794
Brenton Doyle,10,38,40,9,2,0,1,4,5,2,12,1,0.243,0.309,999,sa3009965
Elly De La Cruz,44,171,183,42,9,2,6,21,21,10,59,8,0.248,0.32,999,sa3009289
Adam Engel,62,189,206,43,9,1,4,24,19,11,56,9,0.229,0.27,749.41,15082
Jarren Duran,44,161,175,38,8,2,3,21,17,11,48,6,0.238,0.275,588.32,24617
Zack Short,20,57,67,11,3,0,1,7,6,7,21,2,0.197,0.308,999,19562
Jonah Bride,21,68,78,16,3,0,1,8,7,8,15,0,0.235,0.19,999,24703
Harold Castro,47,171,182,49,8,1,3,20,21,8,33,1,0.287,0.182,619.3,14691
Charlie Blackmon,112,440,486,120,22,4,12,59,60,34,87,4,0.273,0.179,310.89,7859
Garrett Hampson,30,99,108,23,2,1,1,13,8,8,30,6,0.232,0.277,704.25,19262
Jo Adell,31,110,118,24,5,0,4,14,14,7,39,2,0.221,0.334,541.92,20220
Lenyn Sosa,25,90,97,22,4,0,3,10,10,5,19,1,0.25,0.201,744.78,22896
Donny Sands,27,90,101,21,4,0,2,10,10,9,21,0,0.231,0.212,749.36,18603
Victor Reyes,41,146,155,37,8,1,3,18,16,8,34,3,0.255,0.221,741.29,15487
George Valera,15,51,57,11,2,0,2,6,6,6,16,0,0.226,0.283,999,sa3006872
Andrelton Simmons,38,124,136,29,5,0,1,13,10,9,21,3,0.232,0.153,999,10847
Blake Sabol,45,153,169,36,8,2,4,17,17,14,49,2,0.234,0.29,999,sa3010269
Sean Bouchard,14,41,46,10,3,0,2,6,5,4,12,1,0.255,0.263,702.43,21270
Israel Pineda,11,37,39,8,2,0,1,4,4,3,11,0,0.216,0.276,999,22906
Nolan Jones,48,162,183,40,9,0,5,23,22,18,54,2,0.25,0.293,470.54,20529
Gabriel Arias,43,156,171,37,7,0,4,19,18,11,43,2,0.24,0.254,711.43,22563
Chad Pinder,67,239,257,57,12,0,9,29,31,14,74,1,0.238,0.29,694.64,15191
Franmil Reyes,68,250,275,60,10,1,11,31,36,21,82,1,0.24,0.298,479.72,14566
Yonny Hernandez,18,58,67,13,2,0,0,8,4,6,12,4,0.226,0.187,750.37,19432
P.J. Higgins,21,65,72,15,3,0,1,7,7,6,18,0,0.233,0.25,734.39,18433
Trevor Larnach,77,262,297,60,13,0,8,32,31,28,94,1,0.23,0.315,597.38,21501
Zack Collins,15,46,53,9,2,0,1,5,6,7,17,0,0.204,0.319,999,19181
Braden Shewmake,16,60,64,14,4,0,1,6,6,4,14,1,0.233,0.217,999,sa3010332
Travis Swaggerty,25,90,99,20,4,1,2,11,9,9,28,2,0.227,0.285,741.5,24491
Kevin Plawecki,43,128,142,32,6,0,2,12,13,10,24,0,0.25,0.173,750.77,13807
Will Benson,74,219,254,49,10,2,7,31,28,28,77,5,0.221,0.305,523.46,21853
Zach McKinstry,26,88,99,21,4,1,2,11,10,8,24,2,0.235,0.242,716.63,19392
Didi Gregorius,27,97,105,23,4,1,2,11,11,6,16,1,0.233,0.156,999,6012
Brett Wisely,8,28,31,7,1,0,1,4,3,2,8,1,0.243,0.246,999,sa1170003
Willie MacIver,8,26,28,6,1,0,1,3,3,2,8,1,0.224,0.283,999,sa3007828
Rafael Marchan,10,32,35,8,1,0,0,3,3,2,5,0,0.232,0.144,999,21646
Andy IbÃ¡Ã±ez,19,67,72,17,3,0,2,7,7,5,12,1,0.248,0.168,750.1,18819
Joey Ortiz,11,41,44,10,2,0,1,5,5,3,9,0,0.245,0.194,999,sa3009889
Robinson Chirinos,40,123,140,24,5,0,4,13,14,12,43,1,0.198,0.308,749.57,3142
Addison Barger,14,51,56,12,3,0,2,6,7,3,16,0,0.232,0.285,999,sa3006910
Michael Siani,20,66,72,15,3,0,1,7,6,6,16,3,0.226,0.22,747.5,22557
Freddy Fermin,10,33,37,7,2,0,1,4,4,3,8,0,0.22,0.222,999,21840
Niko Goodrum,17,52,60,11,2,0,2,7,5,7,20,2,0.213,0.34,750.76,12092
RenÃ© Pinto,11,38,41,8,2,0,1,4,4,2,14,0,0.217,0.335,999,19859
Mike Tauchman,9,31,35,7,2,0,0,4,3,4,10,0,0.228,0.283,999,15274
Jordan Westburg,21,74,82,17,4,0,2,9,9,6,21,2,0.234,0.263,999,sa3014499
Rougned Odor,48,167,185,36,7,1,7,21,23,13,46,2,0.214,0.251,730.84,12282
Ben Rortvedt,13,43,46,8,2,0,1,4,5,3,15,0,0.197,0.327,749.66,20287
Stuart Fairchild,48,146,163,34,7,1,5,18,18,12,46,3,0.23,0.285,746.53,20321
Evan White,37,133,145,28,5,0,5,15,17,11,44,1,0.209,0.302,743.88,20078
Jason Heyward,46,153,170,35,7,1,4,18,17,15,34,2,0.23,0.201,621.57,4940
Jonathan Villar,36,126,138,29,5,1,3,16,12,10,36,5,0.231,0.264,742.49,10071
Ryan Noda,60,204,235,41,9,0,7,24,24,25,78,3,0.203,0.333,999,sa873960
Owen Miller,42,149,162,36,8,0,3,17,16,11,36,1,0.241,0.221,681.01,24655
Nick Pratto,58,203,232,43,10,1,8,26,26,24,76,2,0.211,0.328,624.5,22117
Hanser Alberto,32,108,113,28,5,0,2,11,11,3,15,1,0.254,0.134,748.34,11902
Canaan Smith-Njigba,24,77,87,19,5,0,1,9,8,10,21,2,0.243,0.239,742.62,23264
Lewin DÃ­az,15,51,55,11,2,0,2,6,7,3,14,0,0.212,0.257,749.29,18365
Yohel Pozo,9,30,32,8,2,0,1,3,3,1,5,0,0.255,0.149,999,18848
Pavin Smith,36,126,140,31,6,1,3,15,16,12,28,1,0.249,0.201,743.3,19892
Darin Ruf,50,157,182,35,7,0,5,22,20,20,50,1,0.224,0.278,728.99,9929
Nick Solak,42,141,156,34,7,0,5,19,16,13,34,2,0.245,0.221,728.25,19294
Meibrys Viloria,13,32,36,7,1,0,1,4,3,4,11,0,0.206,0.306,999,17109
Danny Mendick,25,80,88,19,3,0,2,10,8,7,20,1,0.231,0.23,750.89,18889
Alfonso Rivas,12,34,38,7,1,0,1,4,4,4,11,0,0.22,0.283,750.3,21560
Ryan McKenna,32,86,97,19,4,0,2,11,8,8,30,1,0.22,0.313,999,19928
Brayan Rocchio,10,27,29,7,1,0,1,3,3,2,6,1,0.253,0.203,999,sa3005898
Tucupita Marcano,32,108,122,26,5,1,2,13,10,10,23,2,0.238,0.191,749.54,22871
DJ Stewart,15,29,34,6,2,0,2,4,4,4,11,0,0.207,0.325,999,17766
Yadiel Hernandez,47,137,149,35,6,0,4,15,16,10,34,1,0.253,0.231,749.29,19334
Sam Huff,22,71,77,15,2,0,3,8,9,5,27,0,0.215,0.352,661.88,22209
Brandon Dixon,20,71,77,16,3,0,3,9,11,5,24,1,0.232,0.309,750.45,15214
Yu Chang,28,89,99,20,4,0,3,11,11,7,28,0,0.226,0.284,749.97,14773
Dalton Guthrie,35,112,123,26,6,0,3,13,12,7,29,3,0.234,0.237,999,21293
Bobby Dalbec,54,182,202,41,7,1,9,24,27,15,67,1,0.225,0.329,528.71,19966
Alex Dickerson,27,70,76,16,3,0,2,8,9,6,18,0,0.234,0.241,999,12649
Luke Raley,31,101,113,22,4,0,4,13,13,8,37,1,0.223,0.328,734.67,19354
Roman Quinn,14,41,47,9,2,0,1,6,4,6,16,2,0.214,0.338,750.3,13546
Spencer Horwitz,6,18,20,4,1,0,0,2,2,2,4,0,0.208,0.203,999,sa1115496
Jed Lowrie,8,25,28,6,1,0,1,3,3,3,6,0,0.23,0.211,999,4418
Matt Thaiss,15,46,51,10,2,0,1,5,5,5,13,1,0.215,0.245,739.32,19318
Kyle Garlick,38,92,99,21,4,0,4,12,11,5,31,0,0.224,0.308,750.08,18063
Payton Henry,8,22,24,4,1,0,0,2,2,2,8,0,0.194,0.326,999,22164
Raimel Tapia,36,130,140,35,7,1,2,16,13,7,24,4,0.268,0.174,672.84,14350
Luke Voit,46,162,184,37,7,0,8,21,24,17,57,0,0.231,0.308,481.34,14811
Samad Taylor,23,79,87,18,4,0,2,10,9,7,22,5,0.231,0.253,999,sa918192
JJ Bleday,58,199,229,40,9,1,6,22,23,25,63,2,0.202,0.276,604.14,26368
Dom NuÃ±ez,9,22,25,5,1,0,1,2,2,2,7,0,0.206,0.288,999,15055
Miguel SanÃ³,52,177,201,37,8,0,10,24,26,21,72,1,0.211,0.357,731.14,12164
Miles Mastrobuoni,7,22,24,6,1,0,0,3,2,2,5,0,0.265,0.214,749.46,20017
Aramis Garcia,10,25,27,5,1,0,1,2,2,1,8,0,0.217,0.311,999,16925
Andrew Velazquez,29,84,91,18,3,0,2,10,8,6,30,5,0.213,0.326,747.08,14196
Michael Chavis,20,71,76,16,3,0,3,8,9,4,23,0,0.23,0.302,737.71,17321
Stephen Vogt,9,23,26,5,1,0,1,2,3,2,6,0,0.208,0.245,999,5000
Jonathan Davis,9,26,30,6,1,0,0,3,2,3,8,1,0.227,0.259,999,15104
Vimael MachÃ­n,15,43,48,10,2,0,1,5,4,4,9,0,0.233,0.184,999,17684
Nathan Lukes,11,39,42,9,2,0,1,5,4,3,9,1,0.236,0.21,999,sa875215
Tim Locastro,18,45,50,10,3,0,1,6,4,3,11,3,0.23,0.227,743.01,15124
Andre Lipcius,7,25,28,6,1,0,0,3,3,3,5,0,0.241,0.194,999,sa3010401
Sergio AlcÃ¡ntara,30,70,78,16,3,0,1,8,7,7,20,1,0.224,0.252,747.25,16417
Blake Perkins,11,34,39,7,1,0,1,4,4,5,11,1,0.204,0.278,999,sa874806
David Bote,11,35,39,8,1,0,1,4,4,3,11,0,0.222,0.279,748.72,14593
Isan DÃ­az,16,56,63,12,3,0,2,7,7,6,18,0,0.208,0.286,742.7,17922
Justyn-Henry Malloy,13,44,50,10,2,0,1,5,5,6,13,0,0.234,0.261,999,sa3017073
Tommy La Stella,45,158,174,38,7,0,3,17,16,14,27,0,0.244,0.154,749.04,12371
Andrew Knapp,17,45,50,9,2,0,1,5,4,4,15,0,0.196,0.293,999,14942
Xavier Edwards,7,20,22,5,1,0,0,2,2,2,4,1,0.253,0.204,999,sa3007018
Scott Kingery,9,28,31,6,2,0,0,3,3,3,10,1,0.213,0.335,722.63,17975
Dominic Fletcher,9,28,29,6,1,0,0,4,4,1,8,0,0.219,0.262,999,sa1115778
Alcides Escobar,26,88,94,21,4,0,1,10,8,4,19,1,0.241,0.206,999,6310
Nelson VelÃ¡zquez,39,129,142,28,6,1,4,16,16,11,47,3,0.219,0.33,739.83,23359
Stephen Piscotty,25,70,77,16,3,0,2,8,8,5,22,1,0.232,0.28,749.83,13367
Cal Stevenson,6,18,20,4,1,0,0,2,2,2,5,0,0.21,0.235,999,22411
Ronny Mauricio,11,30,31,7,1,0,1,3,3,1,8,1,0.231,0.256,999,sa3006887
Michael Busch,10,35,39,8,2,0,1,4,4,3,12,0,0.227,0.299,999,sa3011540
David Hamilton,8,28,31,6,1,0,0,4,2,2,7,2,0.218,0.23,999,sa3014434
Charles Leblanc,12,37,39,8,1,0,1,4,4,2,13,1,0.22,0.32,750.32,19813
Ehire Adrianza,23,70,78,16,3,0,1,8,7,6,17,1,0.233,0.225,999,8418
Alec Burleson,26,92,98,23,4,0,3,11,12,6,18,1,0.255,0.181,652.63,27615
