PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Oswald Peraza,80,283,69,13,1,7,37,29,18,72,13,0.245,0.236,284.42,22823
Nick Allen,114,381,88,17,2,4,40,24,26,84,10,0.231,0.195,582.32,22277
Ji Hwan Bae,76,278,72,15,2,3,35,27,22,62,12,0.26,0.203,552.74,23818
Dylan Moore,78,234,48,10,1,8,36,22,26,77,22,0.204,0.285,481.97,18042
Spencer Steer,107,387,92,20,1,12,46,49,32,96,3,0.237,0.224,379.36,26323
JosÃ© Iglesias,77,286,78,15,1,3,31,31,12,42,3,0.272,0.138,675.95,10231
Jace Peterson,108,357,79,16,2,8,43,34,38,105,12,0.221,0.258,481.29,12325
Manny PiÃ±a,52,163,36,7,0,5,17,20,14,41,0,0.219,0.223,748.78,2829
Akil Baddoo,103,361,81,16,5,8,50,33,39,105,20,0.224,0.261,486.45,22168
Brandon Belt,90,315,74,13,1,16,45,48,41,93,2,0.234,0.256,362.49,10264
Trey Mancini,120,449,113,20,2,15,56,58,43,110,0,0.252,0.22,257.09,15149
Austin Hedges,84,272,52,9,0,7,26,26,19,80,3,0.192,0.264,719.09,12976
Jacob Stallings,100,332,75,14,0,5,32,34,30,82,0,0.225,0.223,592.74,13723
Christopher Morel,96,346,78,16,2,12,47,38,29,116,12,0.225,0.303,283.75,21897
Oscar Gonzalez,122,485,132,27,1,14,57,68,22,103,3,0.271,0.2,214.82,20970
J.D. Davis,100,338,84,16,1,12,46,43,39,113,1,0.248,0.295,439.46,16219
Leody Taveras,111,399,92,18,3,8,50,37,29,111,18,0.232,0.256,397.05,18900
Nick Senzel,104,372,94,20,1,7,47,40,31,77,11,0.253,0.186,537.43,19293
Victor Robles,120,399,91,19,2,8,51,34,27,112,18,0.227,0.252,503.45,18363
Jurickson Profar,114,414,108,24,2,10,60,48,47,67,8,0.261,0.141,397.11,10815
Trayce Thompson,95,324,67,13,1,16,44,47,31,128,4,0.206,0.357,472.26,9952
MartÃ­n Maldonado,101,329,64,11,0,11,35,38,27,115,1,0.194,0.311,571.74,6887
Kevin Newman,104,384,101,19,2,4,42,38,22,52,7,0.262,0.125,479.32,17696
Nick Ahmed,96,335,80,17,1,7,39,39,23,82,6,0.238,0.224,609.76,12147
Lourdes Gurriel Jr.,124,472,131,28,2,10,58,60,29,91,6,0.277,0.178,231.93,19238
Matt Carpenter,94,315,71,16,1,14,44,48,40,97,2,0.226,0.267,493.53,8090
Bo Naylor,61,194,45,9,1,6,25,25,19,60,4,0.229,0.276,385.93,21865
Seth Brown,127,452,103,22,2,19,56,63,38,134,9,0.228,0.269,219.76,18171
Jack Suwinski,100,355,78,17,1,14,45,48,36,119,5,0.221,0.299,458.13,22244
Michael A. Taylor,92,311,73,14,1,8,38,32,24,90,8,0.233,0.265,615.84,11489
Nolan Gorman,90,319,74,15,1,13,40,45,25,109,2,0.231,0.311,376.62,22263
Michael Massey,104,378,90,22,2,9,42,43,23,97,6,0.239,0.235,360.97,27684
Tommy Pham,92,341,81,14,1,10,48,40,41,95,10,0.239,0.244,420.46,2967
Kyle Farmer,72,252,64,13,1,6,30,28,15,50,2,0.252,0.182,447.45,14813
David Fletcher,98,366,97,17,2,2,42,32,20,37,7,0.266,0.094,558.75,17992
Evan Longoria,90,319,77,15,1,12,39,46,26,91,1,0.242,0.259,525.72,9368
Jose Trevino,99,335,77,14,1,8,34,37,16,67,2,0.231,0.188,360.67,16725
MJ Melendez,130,485,112,27,3,18,64,64,56,143,6,0.23,0.261,106.05,22197
Tom Murphy,61,195,39,8,0,7,22,24,19,70,1,0.201,0.324,600.72,13499
David Peralta,109,392,99,21,2,10,51,48,34,90,2,0.253,0.207,503.72,2136
Jorge Soler,116,427,97,20,1,19,55,64,48,134,1,0.226,0.275,269.82,14221
Gary Sanchez,65,224,46,9,0,10,27,31,22,74,1,0.203,0.296,479.99,11442
Michael Brantley,90,346,95,20,2,5,44,39,32,46,1,0.276,0.121,393.37,4106
Reese McGuire,84,270,62,13,1,3,27,24,18,63,2,0.229,0.211,490.25,15674
Christian Arroyo,83,294,76,15,1,7,36,33,16,63,5,0.258,0.197,476.91,16434
Daniel Vogelbach,85,275,63,10,0,12,39,40,46,78,0,0.229,0.238,608.86,14130
Andrew McCutchen,119,441,105,22,2,13,58,55,54,112,9,0.237,0.222,354.11,9847
Luis Guillorme,67,216,55,9,0,1,25,20,24,37,1,0.255,0.15,719.72,16451
Kyle Isbel,112,376,88,19,3,8,47,37,26,100,16,0.233,0.245,459.79,21614
Oswaldo Cabrera,100,373,86,19,1,11,45,43,27,103,9,0.231,0.253,318.36,21707
Patrick Wisdom,91,321,66,14,0,16,42,46,32,129,6,0.205,0.355,446.29,13602
Alex Kirilloff,101,374,98,20,1,10,45,45,25,88,3,0.261,0.217,347.2,20325
Brice Turang,88,320,77,16,1,5,38,31,28,75,10,0.241,0.214,999,sa3008294
Christian Bethancourt,79,270,61,12,0,8,28,33,14,74,3,0.227,0.255,305.24,10028
Trevor Story,47,182,44,9,1,8,27,25,16,57,7,0.244,0.282,553.87,12564
Nick Gordon,104,366,90,20,2,7,45,37,21,94,12,0.245,0.238,318.03,16337
James Outman,61,224,49,11,1,7,29,27,19,79,4,0.217,0.319,443.79,24770
JesÃºs SÃ¡nchez,86,310,75,15,2,11,38,42,24,87,2,0.242,0.254,435.53,19913
Wil Myers,121,440,107,23,1,16,58,58,42,140,7,0.244,0.288,243.3,10047
Max Kepler,122,441,103,23,1,12,56,50,50,84,6,0.234,0.168,352.09,12144
LaMonte Wade Jr.,108,367,84,16,1,12,48,44,44,84,5,0.23,0.199,436.86,18126
James McCann,70,231,53,8,1,5,25,25,17,69,2,0.23,0.273,645.75,12859
Hunter Dozier,115,424,99,20,4,12,52,49,35,121,7,0.234,0.26,423.89,15117
Seby Zavala,64,207,42,9,0,6,21,23,18,81,0,0.2,0.353,639.62,18887
Josh H. Smith,70,240,57,12,1,4,30,23,24,57,7,0.238,0.208,651.89,26396
Francisco Ãlvarez,40,138,32,6,0,5,18,19,14,40,1,0.233,0.256,381.37,26121
Salvador Perez,132,504,126,23,1,26,60,82,23,135,1,0.25,0.248,70.7,7304
Matt Vierling,102,337,84,18,3,7,41,34,23,73,10,0.248,0.198,473.32,21558
Carson Kelly,52,172,39,8,0,5,20,22,18,41,0,0.229,0.212,450.75,13620
Yonathan Daza,102,369,106,21,2,3,47,38,24,62,4,0.287,0.154,547.45,15794
Brett Baty,85,311,75,13,1,7,37,35,27,93,2,0.24,0.269,358.46,26123
Taylor Walls,69,232,50,12,1,5,28,23,26,67,9,0.214,0.254,605.62,22458
Isiah Kiner-Falefa,63,224,58,10,1,2,27,19,13,35,10,0.26,0.143,459.22,16512
Spencer Torkelson,132,470,109,25,2,15,57,57,49,127,3,0.232,0.24,298.71,27465
Jared Walsh,108,399,97,20,1,16,52,54,30,119,3,0.243,0.272,327.82,18607
Robbie Grossman,103,360,81,17,1,9,46,37,47,102,10,0.225,0.246,491.36,5254
Ji-Man Choi,112,386,92,20,1,12,50,50,55,112,0,0.239,0.25,541.51,5452
Jake Rogers,55,179,36,8,1,6,20,21,16,64,1,0.201,0.32,668.43,19452
Randal Grichuk,106,403,103,22,2,16,53,57,22,96,2,0.257,0.222,309.66,10243
CÃ©sar HernÃ¡ndez,61,227,56,10,2,3,26,21,21,47,3,0.247,0.188,704.97,10556
Nick Maton,107,361,77,17,3,8,40,36,37,106,4,0.213,0.262,571.57,21635
Will Brennan,82,315,82,17,1,4,38,35,21,51,7,0.261,0.149,458.01,25660
