PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Jonathan Davis,9,26,6,1,0,0,3,2,3,7,1,0.216,0.249,999,15104
Brett Wisely,8,28,6,1,0,1,3,3,2,7,1,0.231,0.241,999,sa1170003
Miguel Amaya,7,17,4,1,0,0,2,2,2,4,0,0.23,0.238,999,sa917354
Mario Feliciano,9,20,5,1,0,0,2,2,1,5,0,0.241,0.232,999,20263
Eguy Rosario,10,26,6,1,0,0,3,3,2,7,1,0.235,0.233,750.79,19964
Andre Lipcius,7,25,6,1,0,0,3,3,2,5,0,0.242,0.189,999,sa3010401
Brandon Dixon,20,71,16,3,0,3,9,9,5,23,1,0.225,0.304,750.45,15214
Sandy Leon,15,44,8,1,0,1,4,4,4,13,0,0.192,0.26,999,5273
Dalton Guthrie,35,113,27,6,0,2,13,11,7,28,3,0.234,0.232,999,21293
Danny Mendick,25,80,18,3,0,1,8,8,6,20,1,0.221,0.225,750.89,18889
Bryce Johnson,5,13,3,1,0,0,2,1,1,4,1,0.224,0.289,999,20002
Peyton Burdick,17,55,12,2,0,2,7,7,5,20,1,0.212,0.318,999,25459
Otto Lopez,6,19,5,1,0,0,2,2,1,4,1,0.261,0.18,745.42,19608
Liover Peguero,9,29,7,1,0,0,3,3,2,8,1,0.236,0.242,749.7,24273
Payton Henry,8,22,5,1,0,0,2,2,2,8,0,0.21,0.32,999,22164
Yairo Munoz,8,25,7,1,0,0,3,3,1,5,1,0.262,0.195,999,16313
Leury GarcÃ­a,51,174,43,7,1,2,19,16,10,38,3,0.245,0.205,743.54,5913
Travis Jankowski,11,30,7,1,0,0,4,2,3,7,2,0.232,0.217,999,13768
Austin Allen,6,17,4,1,0,0,2,2,1,5,0,0.213,0.273,999,18083
Buddy Kennedy,6,21,5,1,0,0,3,2,2,6,0,0.248,0.241,999,22505
Jeter Downs,12,42,8,2,0,1,5,4,3,14,1,0.2,0.306,750.22,22202
Colton Welker,7,16,4,1,0,0,2,2,1,4,0,0.256,0.214,750.92,19961
Johan Camargo,15,50,12,2,0,1,5,5,4,11,0,0.233,0.195,999,14950
